Time,RAMUsedPct,RAMFreeGB,CommitUsedGB,CommitLimitGB,PFs,CPULoad,CPUFreq,ChromeP,ChromeGB,ClaudeP,ClaudeGB,TopMem,TopMB
16:53:07,59.8,6.33,11.22,19.68,0,29,1498,14,1.49,13,2.97,claude,674
16:53:28,59.7,6.34,11.23,19.68,273970,25,1498,14,1.49,13,3,claude,676
16:53:46,59.7,6.34,11.22,19.68,146781,20,1498,14,1.49,13,3.01,claude,682
16:54:03,58.8,6.48,11.15,19.68,109010,15,1498,14,1.49,13,2.96,claude,672
16:54:21,59.6,6.36,11.3,19.68,177836,20,1498,14,1.5,13,2.93,claude,667
16:54:38,59.9,6.31,11.34,19.68,403540,34,1498,14,1.5,13,2.96,claude,671
16:54:55,60.3,6.24,11.41,19.68,771710,12,1498,14,1.53,13,2.96,claude,656
16:55:12,59.9,6.3,11.35,19.68,137927,32,1498,14,1.54,13,2.92,claude,638
16:55:30,60.4,6.23,11.44,19.68,321835,25,1498,14,1.53,13,2.95,claude,641
16:55:47,60.6,6.2,11.46,19.68,1631688,48,1498,14,1.53,13,2.91,claude,538
16:56:04,60.6,6.19,11.45,19.68,560946,13,1498,14,1.53,13,2.88,claude,541
16:56:21,60.4,6.23,11.42,19.68,236221,37,1498,15,1.69,13,2.92,claude,549
16:56:39,60,6.29,11.54,19.68,733748,14,1498,15,1.62,13,2.91,claude,598
16:56:55,61,6.13,11.72,19.68,1214403,27,1498,15,1.63,13,2.98,claude,625
16:57:12,60.6,6.2,11.65,19.68,409090,49,1498,15,1.61,13,2.99,claude,661
16:57:30,60.6,6.19,11.67,19.68,952042,54,1498,15,1.61,13,2.94,claude,585
16:57:46,61.7,6.02,11.86,19.68,1777745,48,1498,15,1.63,13,3.06,claude,668
16:58:03,62.1,5.96,11.9,19.68,825041,26,1498,15,1.61,13,3.08,claude,675
16:58:20,61.2,6.11,11.74,19.68,929426,3,1498,15,1.64,13,2.98,claude,570
16:58:38,61.3,6.08,11.77,19.68,350764,16,1498,15,1.62,13,3.06,claude,653
16:58:54,60.8,6.16,11.71,19.68,1045195,43,1498,15,1.6,13,2.95,claude,537
16:59:12,60.5,6.21,11.64,19.68,512187,31,1498,15,1.59,13,2.96,claude,581
16:59:28,61.8,6.01,11.86,19.68,1387066,19,1498,15,1.59,13,2.92,claude,565
16:59:44,60.6,6.2,11.61,19.68,396584,5,1498,15,1.59,13,2.91,claude,570
17:00:01,61.2,6.11,11.71,19.68,155949,2,1498,15,1.59,13,2.97,claude,605
17:00:18,60.6,6.2,11.68,19.68,151294,18,1498,15,1.59,13,2.88,claude,536
17:00:36,60.8,6.16,11.69,19.68,152490,14,1498,15,1.59,13,2.93,claude,553
17:00:52,60.8,6.16,11.68,19.68,322525,14,1498,15,1.59,13,2.94,claude,562
17:01:10,60.6,6.2,11.64,19.68,111731,15,1498,15,1.59,13,2.92,claude,557
17:01:27,60.9,6.15,11.69,19.68,226293,20,1498,15,1.6,13,2.96,claude,579
17:01:45,61.3,6.09,11.74,19.68,1400596,34,1498,15,1.59,13,3.06,claude,680
17:02:01,61,6.14,11.66,19.68,83639,35,1498,15,1.59,13,3.03,claude,627
17:02:19,61.9,6,11.8,19.68,380186,19,1498,15,1.59,13,3.17,claude,725
17:02:36,61.4,6.07,11.75,19.68,1222508,7,1498,15,1.59,13,3.07,claude,662
17:02:53,61.5,6.05,11.79,19.68,383182,22,1498,15,1.59,13,3.14,claude,742
17:03:09,61.3,6.08,11.9,19.68,1161573,15,1498,15,1.59,13,3.17,claude,753
17:03:27,60.3,6.24,11.68,19.68,100630,17,1498,15,1.74,13,3.02,claude,581
17:03:45,63.3,5.78,12.04,19.68,1239462,35,1498,16,1.89,13,2.95,firefox,625
17:04:01,59.8,6.32,12.05,19.68,670620,23,1498,16,1.79,13,2.78,claude,551
17:04:18,60.6,6.19,12.18,19.68,464060,68,1498,17,2.16,13,2.77,claude,544
17:04:35,70,4.72,13.9,19.68,3723980,74,1498,18,3.75,13,2.78,chrome,1292
17:04:52,79.4,3.24,15.77,19.68,809035,55,1498,18,4.42,13,2.76,chrome,1261
17:05:10,82.2,2.8,15.95,19.68,1890363,68,1498,18,4.43,13,2.71,chrome,1255
17:05:27,83.9,2.54,16.27,19.68,1134997,51,1498,18,4.52,13,2.86,chrome,1255
17:05:45,84.3,2.47,16.44,19.68,369327,19,1498,18,4.62,13,2.84,chrome,1255
17:06:01,84.8,2.39,16.47,19.68,357571,46,1498,18,4.56,13,2.9,chrome,1255
17:06:18,85.8,2.23,16.65,19.68,361069,27,1498,18,4.64,13,2.92,chrome,1255
17:06:35,85.9,2.22,16.68,19.68,880455,60,1498,20,4.86,13,2.81,chrome,1255
17:06:51,90.5,1.5,17.56,19.68,1363950,74,1498,20,5.22,13,3.4,chrome,1255
17:07:09,88,1.89,17.51,19.68,1378905,96,1498,20,5.24,13,2.8,chrome,1255
17:07:26,88.2,1.85,17.59,19.68,1685945,60,1498,20,5.3,13,2.85,firefox,1310
17:07:42,88.2,1.85,17.57,19.68,646538,19,1498,20,5.26,13,2.95,firefox,1340
17:07:58,89.5,1.65,17.71,19.68,370867,37,1498,20,5.3,13,3.03,firefox,1467
17:08:16,90.2,1.54,17.86,19.68,401965,22,1498,20,5.35,13,3.14,firefox,1418
17:08:33,91.3,1.37,18.02,19.68,348323,31,1498,20,5.35,13,3.18,firefox,1461
17:08:49,90.4,1.51,17.98,19.68,1706050,53,1498,20,5.18,13,3.12,firefox,1537
17:09:05,86.9,2.06,17.53,19.68,469993,43,1498,20,5.24,13,2.72,firefox,1557
17:09:22,87.9,1.91,17.62,19.68,1362355,34,1498,20,5.12,13,3.12,firefox,1644
17:09:40,90.3,1.53,18.17,19.68,1673013,41,1498,20,5.03,13,2.93,firefox,1677
17:09:57,88.6,1.79,17.8,19.68,1229919,79,1498,20,4.79,13,2.98,firefox,1757
17:10:13,86.1,2.18,17.51,19.68,616962,13,1498,20,4.51,13,2.93,firefox,1789
17:10:31,85.6,2.27,17.37,19.68,796590,62,1498,20,4.14,13,3.07,firefox,1995
17:10:47,86,2.2,17.43,19.68,1212996,61,1498,20,4.23,13,3,firefox,1994
17:11:04,86.5,2.12,17.53,19.68,580580,11,1498,19,4.27,13,2.98,chrome,1242
17:11:21,86.8,2.08,17.61,19.68,1058318,30,1498,19,4.26,13,2.97,chrome,1242
17:11:38,87.6,1.95,17.67,19.68,1011256,50,1498,19,4.21,13,2.99,chrome,1242
17:11:55,88.1,1.87,17.7,19.68,1005815,23,1498,19,4.19,13,2.96,chrome,1242
17:12:12,88,1.88,17.61,19.68,225213,18,1498,19,4.19,13,2.97,chrome,1242
17:12:30,88.7,1.77,17.67,19.68,1137549,24,1498,19,4.21,13,2.98,chrome,1242
17:12:47,89.6,1.64,17.78,19.68,1395569,82,1498,19,4.28,13,2.98,chrome,1242
17:13:03,90.5,1.49,17.9,19.68,1182047,44,1498,19,4.26,13,3,chrome,1242
17:13:20,90.3,1.52,17.91,19.68,1305928,67,1498,19,4.25,13,3.08,chrome,1242
17:13:36,90.3,1.53,17.85,19.68,904052,45,1498,19,4.28,13,3.02,chrome,1242
17:13:54,89.6,1.63,17.86,19.68,1127740,35,1498,19,4.2,13,2.93,chrome,1242
17:14:11,90,1.58,17.86,19.68,1240017,45,1498,19,4.24,13,3.03,chrome,1242
17:14:28,91.5,1.34,18.06,19.68,949489,53,1498,19,4.55,13,2.94,chrome,1384
17:14:46,82.8,2.71,16.41,19.68,934190,48,1498,18,3.1,13,2.99,claude,703
17:15:02,82.6,2.73,16.36,19.68,854489,46,1498,18,3.02,13,3.02,claude,715
17:15:19,82.2,2.8,16.38,19.68,1469702,56,1498,18,2.99,13,2.99,claude,713
17:15:35,83.2,2.65,16.37,19.68,944568,65,1498,18,3.05,13,2.98,claude,714
17:15:51,83.9,2.53,16.55,19.68,1520712,32,1498,18,3.06,13,3.01,claude,710
17:16:09,82.1,2.82,16.29,19.68,393896,21,1498,18,2.99,13,3,claude,721
17:16:26,82.8,2.71,16.36,19.68,408680,49,1498,18,3.08,13,3,claude,715
17:16:44,82.8,2.7,16.43,19.68,307711,13,1498,18,3.22,13,2.96,claude,713
17:17:00,83.7,2.56,16.57,19.68,708926,55,1498,18,3.31,13,2.99,chrome,766
17:17:18,84.4,2.46,16.65,19.68,1321203,85,1498,18,3.27,13,2.97,chrome,717
17:17:34,84.6,2.43,16.66,19.68,1130666,70,1498,18,3.26,13,2.98,claude,719
17:17:51,85.1,2.35,16.69,19.68,973004,52,1498,18,3.29,13,3,chrome,737
17:18:07,86.8,2.07,16.88,19.68,1253320,29,1498,18,3.2,13,3.01,claude,720
17:18:23,84.6,2.43,16.56,19.68,317908,42,1498,18,3.08,13,2.99,claude,717
17:18:41,85.6,2.26,16.68,19.68,736527,64,1498,18,3.05,13,2.96,claude,721
17:18:57,86.5,2.12,16.98,19.68,809482,14,1498,18,3.05,13,2.88,claude,705
17:19:14,87.3,1.99,17.32,19.68,1573968,99,1498,18,3.05,13,2.74,firefox,679
17:19:33,93.8,0.97,18.99,20.44,3660246,87,1498,18,2.79,13,2.13,firefox,2023
17:19:51,90.4,1.51,18.86,20.44,3060517,69,1498,18,2.79,13,2.09,firefox,2031
17:20:08,91.9,1.28,18.96,20.44,989452,41,1498,18,2.79,13,2.08,firefox,2040
17:20:25,83.7,2.56,18.27,20.44,2117277,93,1498,18,2.34,13,1.95,firefox,1909
17:20:42,90.3,1.53,19.42,20.44,2206047,88,1498,18,2.62,13,2.06,firefox,2011
17:20:59,79.6,3.21,17.73,20.44,1528812,96,1498,18,2.83,13,1.89,firefox,1958
17:21:16,86.8,2.07,18.6,20.44,3689942,71,1498,18,4.05,13,2.04,firefox,1952
17:21:33,89.2,1.7,19.52,20.44,2113752,40,1498,18,4.71,13,2.05,firefox,1948
17:21:49,57.1,6.75,11.9,19.68,1760339,16,1498,16,1.38,0,0,firefox,1909
17:22:06,58.3,6.56,12.08,19.68,524120,19,1498,16,1.38,0,0,firefox,1935
17:22:22,67.4,5.13,13.47,19.68,1582785,45,1498,16,1.38,0,0,firefox,1931
17:22:40,70.6,4.63,14.34,19.68,1851680,56,1498,16,1.39,8,0.57,firefox,1924
17:22:58,63.6,5.72,13.34,19.68,1745592,85,1498,16,1.38,12,2.38,firefox,1918
17:23:14,68.8,4.91,14.05,19.68,1742441,17,1498,16,1.39,10,2.52,firefox,1943
17:23:31,65.2,5.48,13.43,19.68,590355,29,1498,16,1.39,10,2.01,firefox,1937
17:23:47,64.4,5.6,13.33,19.68,324438,28,1498,16,1.41,10,1.73,firefox,1923
17:24:03,66.9,5.2,17.99,19.68,1826859,62,1498,16,1.35,10,1.69,firefox,1209
17:24:20,69.5,4.8,18.24,19.68,1069663,79,1498,16,1.36,10,1.74,firefox,1190
17:24:37,76.6,3.68,19.31,20.69,1626229,68,1498,16,1.45,11,2.31,HD-Player,1217
17:24:54,78.3,3.42,19.66,20.69,982690,77,1498,16,1.38,12,2.56,HD-Player,1443
17:25:11,80.2,3.11,19.6,20.69,448140,69,1498,16,1.33,12,2.56,HD-Player,1948
17:25:28,82.3,2.79,19.64,20.69,876433,60,1498,16,1.33,12,2.58,firefox,1184
17:25:48,83.2,2.65,19.69,20.69,865349,99,1498,16,1.33,12,2.66,firefox,1071
17:26:05,77.8,3.49,18.11,20.69,1227648,44,1498,16,1.33,12,2.64,claude,662
17:26:22,78.9,3.32,18.21,20.69,472562,49,1498,16,1.37,12,2.58,claude,651
17:26:39,80.4,3.09,18.38,20.69,678000,35,1498,16,1.34,12,2.57,firefox,722
17:26:55,80.7,3.03,18.43,20.69,689643,44,1498,16,1.34,12,2.61,firefox,689
17:27:11,86.1,2.18,19.45,20.69,733065,63,1498,16,1.34,12,2.68,firefox,1102
17:27:29,85,2.36,19.53,20.69,1048647,57,1498,16,1.34,13,2.88,firefox,1008
17:27:46,85,2.36,19.52,20.69,337094,68,1498,16,1.34,13,2.86,firefox,1087
17:28:03,85.9,2.22,19.63,20.69,456991,52,1498,16,1.34,13,2.89,firefox,1144
17:28:20,85.8,2.24,19.68,20.69,259815,43,1498,16,1.34,13,2.86,firefox,1231
17:28:38,85.4,2.3,19.6,20.69,454537,44,1498,16,1.34,13,2.88,firefox,1231
17:28:54,86.3,2.16,19.85,20.69,417979,69,1498,16,1.17,13,2.98,firefox,1290
17:29:10,87.9,1.91,20.16,20.69,552851,58,1498,16,1.17,13,3.08,firefox,1389
17:29:27,89.1,1.71,20.29,20.69,549634,88,1498,16,1.16,13,3.13,firefox,1510
17:29:44,89.8,1.61,20.49,21.69,441682,43,1498,16,1.19,13,3.04,firefox,1597
17:30:01,89.6,1.64,20.7,21.69,849473,72,1498,16,1.19,13,3.01,firefox,1700
17:30:18,86.5,2.13,20.05,21.69,465201,54,1498,16,1.2,13,3.07,firefox,1424
17:30:35,86.8,2.07,20.05,21.69,542559,58,1498,16,1.29,13,3,firefox,1443
17:30:52,82.8,2.71,19.42,21.69,485734,96,1498,16,1.27,13,3.01,firefox,780
17:31:10,80.7,3.03,19.68,21.69,287908,85,1498,16,1.27,13,3.02,firefox,969
17:31:28,79.8,3.18,19.19,21.69,322327,100,1498,16,1.26,13,2.99,firefox,895
17:31:47,82.8,2.7,19.89,21.69,576992,100,1498,16,1.27,13,3,firefox,1127
17:32:10,80.5,3.06,19.54,21.69,613242,85,1498,16,1.27,13,2.99,firefox,866
17:32:27,82,2.83,19.61,21.69,472495,76,1498,16,1.27,13,2.99,firefox,1031
17:32:45,84.4,2.46,20.07,21.69,590254,97,1498,16,1.27,13,3.09,firefox,1331
17:33:06,88.6,1.8,20.68,21.69,877360,100,1498,16,1.32,13,3.11,firefox,1654
17:33:25,90,1.57,20.88,21.69,675511,80,1498,16,1.32,13,3.02,firefox,2022
17:33:42,91.2,1.39,21.12,21.69,631835,71,1498,16,1.32,13,3.02,firefox,623
17:34:00,91.8,1.29,21.48,21.85,996972,86,1498,16,1.26,13,3.17,HD-Player,1966
17:34:17,90.4,1.51,21.32,22.14,1030389,68,1498,16,1.27,13,3.06,HD-Player,1967
17:34:34,90.7,1.47,21.28,22.14,449915,54,1498,16,1.26,13,2.93,HD-Player,1967
17:34:51,92.1,1.25,21.47,22.14,345493,82,1498,16,1.27,13,2.98,HD-Player,1967
17:35:08,95.3,0.74,21.72,22.14,863052,100,1498,16,1.62,13,2.95,HD-Player,1971
17:35:27,96.9,0.48,21.9,22.31,1620324,100,1498,15,1.75,13,2.76,HD-Player,1971
17:35:46,95.1,0.77,21.72,22.31,1198956,97,1498,14,1.59,13,2.84,HD-Player,1972
17:36:03,94.4,0.88,21.86,22.31,915590,100,1498,16,1.6,13,2.93,HD-Player,1972
17:36:22,93,1.1,21.52,22.31,491516,74,1498,15,1.38,13,2.89,HD-Player,1972
17:36:39,94,0.95,21.59,22.31,314207,65,1498,15,1.38,13,2.9,HD-Player,1973
17:36:56,94.8,0.82,21.58,22.31,358881,62,1498,15,1.38,13,2.93,HD-Player,1973
17:37:12,95.5,0.7,21.74,22.31,668189,97,1498,15,1.41,13,3.04,HD-Player,1973
17:37:30,94.7,0.83,21.59,22.31,305307,54,1498,15,1.38,13,3,HD-Player,1979
17:37:47,95,0.79,21.58,22.31,304885,52,1498,15,1.37,13,2.99,HD-Player,1979
17:38:04,94.7,0.83,21.52,22.31,429508,74,1498,14,1.32,13,2.96,HD-Player,1979
17:38:22,93.6,1.01,21.51,22.31,704678,76,1498,14,1.31,13,2.74,HD-Player,1979
17:38:38,94.3,0.9,21.65,22.31,475999,63,1498,14,1.38,13,2.74,HD-Player,1978
17:38:54,95.2,0.76,21.74,22.31,850829,97,1498,14,1.43,13,2.82,HD-Player,1422
